,Unnamed: 0,coder,date,newsnm,rptmm,rptdd,rptyy,evmm,evdd,evyy,days,eventid,stories,title,followup,who,what,where,against,purpose,whysm,page,section,paragrph,staten,state1,state2,state3,state4,cityn,city1,city2,neighn,neighbr,particd,particex,partices,groups,igrp1c1,igrp1c2,igrp2c1,igrp2c2,igrp3c1,igrp3c2,targd,targnum,targ1,targ2,ertarg1,ertarg2,smonamed,smonum,smoname1,smoname2,smoname3,smoname4,claim1,val1,claim2,val2,claim3,val3,claim4,val4,form1,form2,form3,form4,act1,act2,act3,act4,viold,violtype,counterd,police1,police2,police3,police4,arrestd,arrestex,arrestes,propdam,dollars,injury,deaths,d_eventid,flag_followup,injprot,injprot_est,injby,injby_est,injpol,injpol_est,injoth,injoth_est,dthprot,dthprot_est,dthby,dthby_est,dthpol,dthpol_est,dthoth,dthoth_est,agenda_code,matchtext,textfile
1289,20408,J. REAMER,15217,NYT,8,8,1989,8,7,1989,1,8908008,1,prospect of racial parity called bleak,0,national urban league,released a report,washington dc,government,racial parity (for blacks) needs government help and has long way to go,"COLLECTIVE, CLAIMS MADE, PUBLIC",13,a,16,1,DC,,,,-999,,,-999,,0,-999,2,1,1800,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,1,1,national urban league,,,,1500,1,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,98,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,prospect of racial parity called bleak,1989/08/08/0273564.xml
1290,20409,J. REAMER,15217,NYT,8,12,1989,8,10,1989,1,8908009,2,4 dolphins captured despite florida protest,0,sea shepherd society,jumped into nets meant for animals,florida,"gulf world, private company",animal rights,"COLLECTIVE, CLAIMS MADE, PUBLIC",6,,32,1,FL,,,,1,PANAMA CITY BE,,-999,,0,-999,2,1,1800,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,1,1,sea shepherd society,,,,2600,1,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,45,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,709,4 dolphins captured despite florida protest,1989/08/12/0274616.xml
1291,20410,J. REAMER,15217,NYT,8,12,1989,-999,-999,1989,1,8908011,2,suit challenges arrest tactics,1,religious smo,filed suit,"los angeles, ca",government,wanted an order that would prevent police from using painful tactics for arrests,"COLLECTIVE, CLAIMS MADE, PUBLIC",6,L,16,1,CA,,,,1,LOS ANGELES,,-999,,0,-999,2,1,1800,1100,-999,-999,-999,-999,1,1,1,-999,-999,-999,1,1,rutherford institute of california,,,,1344,1,1338,2,-999,-999,-999,-999,18,-999,-999,-999,97,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1205,suit challenges arrest tactics,1989/08/12/0274652.xml
1292,20411,J. REAMER,15217,NYT,8,13,1989,8,12,1989,1,8908012,3,boston parents sue to block closing of 5 schools,0,parents and teachers,filed suit,boston,government,protesting closing of 5 schools and consolidation of 4 others,"COLLECTIVE, CLAIMS MADE, PUBLIC",24,l,33,1,MA,,,,1,BOSTON,,-999,,0,-999,2,2,1800,1500,1200,-999,-999,-999,1,1,1,-999,-999,-999,1,2,boston teachers union,citywide parents council,,,1342,3,-999,-999,-999,-999,-999,-999,18,-999,-999,-999,97,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,600,boston parents sue to block closing of 5 schools,1989/08/13/0274967.xml
1293,20412,J. REAMER,15217,NYT,8,13,1989,7,-999,1989,1,8908016,1,CAMPUS LIFE: Iowa; t-shirt included in aids display leads to protests,1,SMOS - STUDETN ORGANIZATIONS,circulated flyers and petitions,iowa,private group,against anti-homosexual t-shirts,"COLLECTIVE, CLAIMS MADE, PUBLIC",43,,11,1,IA,,,,1,IOWA CITY,,1,university of iowa,0,-999,3,2,1800,500,1800,-999,-999,-999,1,1,2,-999,-999,-999,1,2,UNIVERISTY OF IOWA WOMENS RESOURCE AND A,GAY PEOPLES UNION,,,1600,1,2525,2,-999,-999,-999,-999,9,-999,-999,-999,18,15,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,202,campus life iowa tshirt included in aids display leads to protests,1989/08/13/0274701.xml
1294,20413,J. REAMER,15217,NYT,8,14,1989,-999,-999,1989,1,8908017,2, . . . While citizens risk lives to combat dealers in streets,1,residents,formed coalition to walk around with walkie talkies looking for drug d,fairlawn,drug dealers,anti-drug dealing,"COLLECTIVE, CLAIMS MADE, PUBLIC",1,a,64,1,NJ,,,,1,FAIRLAWN,,-999,,1,200,-999,1,1500,-999,-999,-999,-999,-999,1,1,6,-999,-999,-999,1,1,fairlawn coalition,,,,1337,1,-999,-999,-999,-999,-999,-999,16,98,-999,-999,98,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1211,while citizens risk lives to combat dealers in streets,
1295,20414,J. REAMER,15217,NYT,8,19,1989,8,17,1989,1,8908019,1,house panel leader jeered by elderly in chicago,0,elderly,"booed and followed rep. Down the street, screaming, and had signs, and",chicago,representative,he is against programs that help the elderly,"COLLECTIVE, CLAIMS MADE, PUBLIC",8,,9,1,IL,,,,1,CHICAGO,,-999,,1,200,-999,1,900,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,1,1,state council of senior citizens,,,,2900,1,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,59,20,28,45,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,204,house panel leader jeered by elderly in chicago,1989/08/19/0276655.xml
1296,20415,J. REAMER,15217,NYT,8,20,1989,8,-999,1989,1,8908020,1,brooklynites balk at relocation deal,0,42 housholds and four small businesses,formed organization,brooklyn,"government, developer",anti-demolition and evictions,"COLLECTIVE, CLAIMS MADE, PUBLIC",36,L,24,1,NY,,,,1,NEW YORK,,1,brooklyn,0,-999,3,2,1500,-999,100,-999,-999,-999,1,2,1,2,-999,-999,1,1,survive,,,,1350,1,1318,1,-999,-999,-999,-999,16,-999,-999,-999,98,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1403,brooklynites balk at relocation deal,1989/08/20/0276836.xml
1297,20420,J. REAMER,15217,NYT,8,20,1989,-999,-999,1989,1,8908033,3,brooklynites balk at relocation deal,1,residents,filed suit,brooklyn,"government, developer",against development in their neighborhood and cant afford relocation at rate offered by,"COLLECTIVE, CLAIMS MADE, PUBLIC",36,L,24,1,NY,,,,1,NEW YORK,,1,brooklyn,0,-999,2,1,1500,-999,-999,-999,-999,-999,1,2,1,2,-999,-999,1,1,legal aid society,,,,1350,1,1318,1,-999,-999,-999,-999,18,-999,-999,-999,97,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1403,brooklynites balk at relocation deal,1989/08/20/0276836.xml
1298,20421,J. REAMER,15217,NYT,8,20,1989,-999,-999,1988,1,8908034,1,brooklynites balk at relocation deal,1,residents,filed suit,brooklyn,city and developer,AGAINST DEVELOPMENT REQUEST HIGHTER COMPENSATION FOR RELOCATION,"COLLECTIVE, CLAIMS MADE, PUBLIC",36,L,24,1,NY,,,,1,NEW YORK,,1,brooklyn,0,-999,2,1,1800,1500,-999,-999,-999,-999,1,2,1,2,-999,-999,1,1,stand together against neighborhood deca,,,,1350,1,1318,1,-999,-999,-999,-999,18,-999,-999,-999,97,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1403,brooklynites balk at relocation deal,1989/08/20/0276836.xml
1300,20422,J. REAMER,15217,NYT,8,26,1989,8,25,1989,1,8908035,1,police search for 18-year-old in killing of brooklyn youth,0,"advocates, religious leaders, politicians",rallied,nyc,,outraged by racial killing,"COLLECTIVE, CLAIMS MADE, PUBLIC",1,a,33,1,NY,,,,1,NEW YORK,,1,brooklyn,0,-999,4,3,100,-999,1800,-999,1800,400,0,-999,-999,-999,-999,-999,1,2,new york city civil rights coalition,aclu,,,2504,2,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,27,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,police search for 18yearold in killing of brooklyn youth,1989/08/26/0278379.xml
1301,20416,J. REAMER,15217,NYT,8,27,1989,8,26,1989,1,8908021,1,5000 march to protest court action on rights,0,5000 demonstrators,marched,washington dc,government,want move intense affirmative action programs,"COLLECTIVE, CLAIMS MADE, PUBLIC",3,a,10,1,DC,,,,-999,,,-999,,1,5000,-999,2,1800,401,1800,-999,-999,-999,1,1,1,-999,-999,-999,1,1,naacp,,,,2300,1,-999,-999,-999,-999,-999,-999,2,-999,-999,-999,22,26,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,5000 march to protest court action on rights,1989/08/27/0278736.xml
1304,20419,J. REAMER,15217,NYT,8,30,1989,8,28,1989,1,8908032,1,26 arrested in rampage in jersey town,0,youth,"threw rocks and bottles, looted, damaged property",nj,government,angry about shooting of black youth by white officer,"COLLECTIVE, CLAIMS MADE, PUBLIC",1,b,26,1,NJ,,,,1,VINELAND,,-999,,0,-999,3,2,700,401,700,402,-999,-999,1,1,1,-999,-999,-999,0,-999,,,,,1518,1,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,62,61,55,56,1,1,0,1,1,1,0,0,26,-999,1,100000,0,0,D-8908032,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,26 arrested in rampage in jersey town,1989/08/30/0279427.xml
1305,20424,j. reamer,15194,NYT,9,1,1989,8,31,1989,1,8909001,1,DAY OF OUTRAGE MARCH ENDS IN VIOLENCE,1,7500 marchers,"marched, threw bottles/bricks at police, carried symbolic coffins",manhattan,police,against racism and the killing of a black youth by whites,"COLLECTIVE, CLAIMS MADE, PUBLIC",1,b,31,1,NY,,,,1,NEW YORK,,1,manhattan,1,7500,-999,1,1500,401,-999,-999,-999,-999,1,1,1,-999,-999,-999,0,-999,,,,,2504,1,-999,-999,-999,-999,-999,-999,2,-999,-999,-999,22,33,45,28,1,1,0,1,1,1,0,-999,-999,-999,0,-999,1,0,,-999,-999,-999,-999,-999,20,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,day of outrage march ends in violence,1989/09/01/0279819.xml
1306,20425,J. REAMER,15194,NYT,9,2,1989,9,-999,1989,1,8909002,1,football prayer ban stirring anger in south,0,six people,made noise,montgomery,school,protesting the organized prayer at football game,"COLLECTIVE, CLAIMS MADE, PUBLIC",1,a,24,1,AL,,,,1,MONTGOMERY,,-999,,1,6,-999,1,800,-999,-999,-999,-999,-999,1,1,3,-999,-999,-999,0,-999,,,,,1351,3,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,45,58,59,-999,0,-999,0,1,1,0,0,0,1,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3100,football prayer ban stirring anger in south,1989/09/02/0280010.xml
1307,20426,J. REAMER,15194,NYT,9,3,1989,8,-999,1989,1,8909004,1,"in a small town, a battle over a book",1,small group,lobbied,ca,school board,TO BAN CATCHER IN THE RYE FROM READING LIST,"COLLECTIVE, CLAIMS MADE, PUBLIC",22,l,31,1,CA,,,,1,BORON,,-999,,0,-999,1,1,1500,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,0,-999,,,,,1340,2,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,40,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,207,in a small town a battle over a book,1989/09/03/0280376.xml
1308,20427,J. REAMER,15216,NYT,9,3,1989,8,30,1989,1,8909005,1,"in a small town, a battle over a book",1,smo,released a listing of 172 successful or attempted censorship cases,"boron, ca",CATCHER IN THE RYE AND PPL WHO WANT IT ON CLASSROOM READIN,brining attention to the rising censorship in america,"COLLECTIVE, CLAIMS MADE, PUBLIC",22,l,31,1,CA,,,,1,BORON,,-999,,0,-999,2,1,1800,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,1,1,people for the american way,,,,1340,1,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,98,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,207,in a small town a battle over a book,1989/09/03/0280376.xml
1309,20428,J. REAMER,15216,NYT,9,3,1989,9,2,1989,1,8909006,1,no violence as 300 march into bensonhurst again,0,500 protesters,"marched, carried signs, chanted, carried flags, speeches",bensonhurst,,angry about death of black youth in white neighborhood,"COLLECTIVE, CLAIMS MADE, PUBLIC",40,,26,1,NY,,,,1,BENSONHURST,,-999,,1,500,-999,1,401,1500,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,,,,,2504,2,-999,-999,-999,-999,-999,-999,2,1,-999,-999,22,28,20,27,0,-999,1,1,1,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,no violence as 300 march into bensonhurst again,1989/09/03/0280400.xml
1310,20429,J. REAMER,15216,NYT,9,3,1989,9,2,1989,1,8909007,1,fight on indian reservation as casinos divide mohawks,0,25 native americans,barricaded themselves inside a casino hall,ny,other native americans,pro-casinos,"COLLECTIVE, CLAIMS MADE, PUBLIC",40,1,3,1,NY,,,,1,SAINT REGIS AKWES,,-999,,1,25,-999,1,435,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,1,1,warriors society,,,,1400,3,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,45,57,55,-999,1,1,1,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2102,fight on indian reservation as casinos divide mohawks,1989/09/03/0280447.xml
1311,20430,J. REAMER,15216,NYT,9,4,1989,9,3,1989,1,8909008,1,Clergy in Bensonhurst Lead March To Lay Wreath at Site of Slaying,0,200 people,led a march and laid roses at crime scene,bensonhurst,,"rememberance of slain black youth, bring peace","COLLECTIVE, CLAIMS MADE, PUBLIC",31,,14,1,NY,,,,1,BENSONHURST,,-999,,1,200,-999,2,1100,-999,1500,-999,-999,-999,0,-999,-999,-999,-999,-999,1,1,roman catholic church,,,,2504,2,-999,-999,-999,-999,-999,-999,2,-999,-999,-999,22,10,27,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,clergy in bensonhurst lead march to lay wreath at site of slaying,1989/09/04/0280629.xml
1312,20431,J. REAMER,15216,NYT,9,4,1989,9,3,1989,1,8909009,3,STUDENT GATHERING IN VIRGINIA TURNS VIOLENT 4 HURT,0,black students,rioted,va,stores and police,"claimed racism: prices doubled when blacks came to town, excessive force by police","COLLECTIVE, CLAIMS MADE, PUBLIC",7,l,57,1,VA,,,,1,VIRGINIA BEACH,,-999,,0,-999,5,1,401,800,-999,-999,-999,-999,1,2,2,1,-999,-999,0,-999,,,,,2504,2,1518,1,1500,1,-999,-999,12,-999,-999,-999,61,55,-999,-999,1,1,0,1,1,1,0,0,160,-999,0,-999,1,0,D-8909009,-999,4,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,student gathering in virginia turns violent 4 hurt,1989/09/04/0280661.xml
1313,20432,J. REAMER,15216,NYT,9,5,1989,8,31,1989,1,8909012,1,"At a pigeon shoot for labor day, a protester speaks out",1,400 animal rights advocates,demonstrated with signs,pa,sportsmen,animal rights,"COLLECTIVE, CLAIMS MADE, PUBLIC",14,a,1,1,PA,,,,1,HEGINS,,-999,,1,400,-999,1,1800,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,0,-999,,,,,2600,1,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,20,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,709,at a pigeon shoot for labor day a protester speaks out,1989/09/05/0280836.xml
1314,20433,J. REAMER,15216,NYT,9,5,1989,7,-999,1989,40,8909013,1,east side drug patrols tactic stare,1,12-20 men and women,assemble and circle the block looking for crack dealers,manhattan,drug dealers,intend to scare them away by staring,"COLLECTIVE, CLAIMS MADE, PUBLIC",3,b,20,1,NY,,,,1,NEW YORK,,1,manhattan,0,-999,2,1,1500,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,0,-999,,,,,1337,1,-999,-999,-999,-999,-999,-999,98,-999,-999,-999,20,22,98,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1211,east side drug patrols tactic stare,1989/09/05/0280814.xml
1315,20434,J. REAMER,15216,NYT,9,5,1989,9,4,1989,1,8909014,1,300 protest in tompkins square after attack on 4 homosexuals,0,300 demonstrators,demonstrated,manhattan,police,wanted a man released for helping gay men in attack,"COLLECTIVE, CLAIMS MADE, PUBLIC",4,b,15,1,NY,,,,1,NEW YORK,,1,tompkins square park,1,300,-999,1,1800,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,0,-999,,,,,2525,2,1611,1,-999,-999,-999,-999,1,2,-999,-999,22,59,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,202,300 protest in tompkins square after attack on 4 homosexuals,1989/09/05/0280696.xml
1316,20478,J. REAMER,15216,NYT,9,5,1989,9,4,1989,1,8909067,1,300 protest in tompkins square after attack on 4 homosexuals,0,4 men,attacked,nyc,2 gay men,hate crime,"COLLECTIVE, CLAIMS MADE, PUBLIC",4,b,15,1,NY,,,,1,NEW YORK,,1,manhattan,1,4,-999,1,600,-999,-999,-999,-999,-999,1,1,6,-999,-999,-999,0,-999,,,,,2525,1,-999,-999,-999,-999,-999,-999,11,-999,-999,-999,55,56,-999,-999,1,1,1,1,1,0,0,0,2,-999,0,-999,1,0,,-999,-999,-999,2,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,202,300 protest in tompkins square after attack on 4 homosexuals,1989/09/05/0280696.xml
1317,20435,J. REAMER,15216,NYT,9,6,1989,9,5,1989,1,8909015,1,bar panel says courts and jails mishandle prisoners with aids,0,city bar association,released a report,nyc,government,inferior prison health care for people with aids,"COLLECTIVE, CLAIMS MADE, PUBLIC",1,a,24,1,NY,,,,1,NEW YORK,,-999,,0,-999,2,1,100,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,1,1,city bar association,,,,2101,1,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,98,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,205,bar panel says courts and jails mishandle prisoners with aids,1989/09/06/0280986.xml
1318,20436,J. REAMER,15216,NYT,9,6,1989,-999,-999,-999,1,8909016,1,US TELLS SHRIMPERS TO GIVE SEA TURTLES AN ESCAPE DOOR,1,environmental groups,filed suit,"washington, d.c.",government & shrimpers, wanted laws created to protect sea turtles,"COLLECTIVE, CLAIMS MADE, PUBLIC",8,b,12,1,DC,,,,0,,,-999,,0,-999,2,1,1800,-999,-999,-999,-999,-999,1,2,1,2,-999,-999,1,1,center for marin conservation,,,,2600,1,-999,-999,-999,-999,-999,-999,18,-999,-999,-999,97,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,709,us tells shrimpers to give sea turtles an escape door,1989/09/06/0281020.xml
1319,20438,J. REAMER,15216,NYT,9,8,1989,9,7,1989,1,8909019,1,group sets corporate code on environmental conduct,0,"INVESTORS, SMOS, RELIGIOUS GROUPS",issued 10 point code of conduct,,businesses,environmental protection,"COLLECTIVE, CLAIMS MADE, PUBLIC",1,d,16,0,,,,,0,,,-999,,0,-999,4,3,100,-999,1800,-999,1100,-999,1,1,2,-999,-999,-999,1,3,coalition for environmentally responsibl,social investment forum,NATIONAL COUNCIL OF CHURCHES INTERFAIT,,1100,1,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,98,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,700,group sets corporate code on environmental conduct,
1320,20437,J. REAMER,15216,NYT,9,9,1989,9,8,1989,1,8909018,1,shrimpers win a bush promise,0,shrimpers,blockaded boat traffic,la,governmetn,protest requirements that they use special nets,"COLLECTIVE, CLAIMS MADE, PUBLIC",24,l,2,1,CA,,,,1,LOS ANGELES,,1,grand isle,0,-999,2,1,100,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,0,-999,,,,,1400,3,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,45,57,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,709,shrimpers win a bush promise,
1322,20440,J. REAMER,15216,NYT,9,10,1989,9,9,1989,1,8909021,1,minnesota guard put on alert in labor violence at paper millf,0,hundreds of people,burned temp housing and overturned vehicles,minnesota,employer,protesting hiring of non-union workers,"COLLECTIVE, CLAIMS MADE, PUBLIC",22,a,12,1,MN,,,,1,INTERNATIONAL,,-999,,1,400,-999,1,100,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,0,-999,,,,,1400,2,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,45,62,-999,-999,0,-999,0,1,1,0,0,0,30,-999,1,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,504,minnesota guard put on alert in labor violence at paper millf,
1323,20441,J. REAMER,15216,NYT,9,10,1989,9,9,1989,1,8909022,1,"alaska oil cleanup near end, but beaches remain fouled",0,50 fishermen,clogged pipeline terminal in harbor with boats,"valdez, alaska",business,protect against use of port by foreign owned tankers,"COLLECTIVE, CLAIMS MADE, PUBLIC",1,a,45,1,AK,,,,1,VALDEZ,,-999,,1,50,-999,1,100,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,0,-999,,,,,1113,1,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,45,57,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,701,alaska oil cleanup near end but beaches remain fouled,1989/09/10/0281933.xml
1324,20442,J. REAMER,15216,NYT,9,10,1989,9,9,1989,1,8909023,1,2 texas statues embody century of racial views,0,students,vandalized statue of confederate leader,university of texas,,anti-racism,"COLLECTIVE, CLAIMS MADE, PUBLIC",26,a,16,1,TX,,,,1,AUSTIN,,1,university of texas,0,-999,1,1,800,-999,-999,-999,-999,-999,1,1,3,-999,-999,-999,0,-999,,,,,1500,1,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,45,62,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,2 texas statues embody century of racial views,1989/09/10/0281950.xml
1325,20443,J. REAMER,15216,NYT,9,10,1989,9,9,1989,1,8909024,1,san francisco opera debut is disrupted by aids group,0,50 aids activists,"disrupted the opening of the sf opera, chanting",sf,,aids awareness,"COLLECTIVE, CLAIMS MADE, PUBLIC",32,,4,1,CA,,,,1,SAN FRANCISCO,,-999,,1,50,-999,1,1800,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,1,1,stop aids now or else,,,,1608,1,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,45,64,28,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,331,san francisco opera debut is disrupted by aids group,1989/09/10/0281981.xml
1326,20444,J. REAMER,15216,NYT,9,10,1989,9,8,1989,1,8909025,1,toxic site cleanup reported lagging,0,"rand, non-profit research org","issued a statement, study",santa monica,government,government taking too long in clean up: faster clean up desired,"COLLECTIVE, CLAIMS MADE, PUBLIC",32,,17,1,CA,,,,1,SANTA MONICA,,-999,,0,-999,2,1,1800,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,1,1,rand,,,,1100,1,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,98,34,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,700,toxic site cleanup reported lagging,1989/09/10/0281874.xml
1327,20445,J. REAMER,15216,NYT,9,10,1989,9,8,1989,1,8909026,1,300 demonstrators are met with silence in bensonhurst,0,assemblymen and youth,"urged residents to remain calm during black marches, while they went d",bensonhurst,residents,keep the peace,"COLLECTIVE, CLAIMS MADE, PUBLIC",34,,24,1,NY,,,,1,BENSONHURST,,-999,,0,-999,3,2,401,1500,800,1500,-999,-999,1,1,6,-999,-999,-999,0,-999,,,,,1400,3,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,40,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,300 demonstrators are met with silence in bensonhurst,1989/09/10/0281947.xml
